,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,80,proposal\ftp2\src\java\org\apache\commons\net\ftp\ftp2\FTPFileIterator.java,12640f3bf048f99830e6fbb735adcc09cb078439,458,0,94b568cd130bc24e9bc1032e5b56850d26f2393d,NET_1_0_0,2002-05-03 14:52:30,NET_1_0_0,,org.apache.commons.net.ftp.ftp2.FTPFileIterator,org.apache.commons.net.ftp.ftp2,0
1,2,src\java\org\apache\commons\net\ftp\FTPFileIterator.java,5b79201e660fd48cfc8d9a659fb252e56d9bfff3,1579,0,85384fbbdce8b8a48625bb3cd34f4ebc4211b111,NET_1_1_0_rc1,2003-03-02 18:15:24,NET_1_1_0_rc1,,org.apache.commons.net.ftp.FTPFileIterator,org.apache.commons.net.ftp,1
2,200,src\java\org\apache\commons\net\ftp\FTPClient.java,44644826b0f39b8b6b1bb7c203dfab0a58fb3995,36,0,3ac1e43e80b3e5572345f0a9534d428d03e5f32d,NET_1_1_0_rc1,2003-07-29 02:43:40,NET_1_1_0_rc1,,org.apache.commons.net.ftp.FTPClient,org.apache.commons.net.ftp,2
3,5,src\java\org\apache\commons\net\ftp\parser\RegexFTPFileEntryParserImpl.java,2fca632ea5acd3b5151e3bf72810788908ec79f9,150,0,a430c93c3342fca04a165e54f482210927a40db4,NET_2_0_RC2,2006-08-25 21:03:10,NET_2_0_RC2,,org.apache.commons.net.ftp.parser.RegexFTPFileEntryParserImpl,org.apache.commons.net.ftp.parser,3
4,28,src\main\java\org\apache\commons\net\ftp\FTPSClient.java,2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c,3692,0,8cf4a9ef1ce9d57153c839dc246c6f4ffe5b97da,NET_2_0_RC2,2006-08-26 12:09:50,NET_2_0_RC2,,org.apache.commons.net.ftp.FTPSClient,org.apache.commons.net.ftp,4
5,36,src\main\java\org\apache\commons\net\ftp\FTP.java,eb945ea4b8810c4a32f622b1bea7781079a3ab37,216,0,e97e359cf24ce802fc53307dae5f267bc2d23c2b,NET_2_0_RC2,2006-08-27 10:06:55,NET_2_0_RC2,,org.apache.commons.net.ftp.FTP,org.apache.commons.net.ftp,5
6,68,src\main\java\org\apache\commons\net\tftp\TFTPClient.java,4676f817b13db90735df8fb9e35304a7a75722f6,234,0,e321b9be6df156d9a705c084aded741e1ce1ba6f,NET_2_0_RC2,2006-11-11 16:09:00,NET_2_0_RC2,,org.apache.commons.net.tftp.TFTPClient,org.apache.commons.net.tftp,6
7,24,src\main\java\org\apache\commons\net\bsd\RCommandClient.java,5d1dc2b9a4bb19c5fbc38c271960be147ef22016,17,0,a7fb411ce58472825ec1df10282ad883cbd057ee,NET_2_0_RC2,2008-02-17 23:08:14,NET_2_0_RC2,,org.apache.commons.net.bsd.RCommandClient,org.apache.commons.net.bsd,7
8,178,src\main\java\org\apache\commons\net\smtp\SMTP.java,d26934447d0959f1cca83ef987f455b60675f711,216,0,5d1dc2b9a4bb19c5fbc38c271960be147ef22016,NET_2_0_RC2,2008-02-17 23:16:12,NET_2_0_RC2,,org.apache.commons.net.smtp.SMTP,org.apache.commons.net.smtp,8
9,182,src\main\java\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactory.java,000e726af8464d94e7d02d307dde0e07e176d58c,87,0,41fcf52a10bf31693aae21df5776d051f282002b,NET_2_0_RC2,2008-02-18 00:22:53,NET_2_0_RC2,,org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,org.apache.commons.net.ftp.parser,9
10,161,src\java\org\apache\commons\net\tftp\TFTPClient.java,7556827f4d25275707a839ae2143a5c4afe169a3,263,0,eb254809443214cfdc139eb2ae46fc6ed9ce28bb,NET_1_5_0,2008-02-19 22:42:05,NET_1_5_0,,org.apache.commons.net.tftp.TFTPClient,org.apache.commons.net.tftp,10
12,148,src\main\java\org\apache\commons\net\ftp\FTP.java,a02430dbd4636baa43cd3d496a94c33c29cbedd4,220,0,ef5a226f03260e828bd14c0f08f57719338aa061,NET_2_0_RC2,2008-02-20 17:46:30,NET_2_0_RC2,,org.apache.commons.net.ftp.FTP,org.apache.commons.net.ftp,12
13,188,src\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImpl.java,1ccf0989570645d9bb403a916324d07992c16b12,324,0,9c672b13b5a175c231ae17270331098998441fc9,NET_1_5_0,2008-03-02 20:29:07,NET_1_5_0,,org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,org.apache.commons.net.ftp.parser,13
14,26,src\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImpl.java,7e9b1a447f277ac07267710aa96f42cabf3b49b5,15,0,d9335291150e80cf27cca2dbce3096ea5c72ca6c,NET_1_5_0_RC1,2008-03-04 07:39:17,NET_1_5_0_RC1,,org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,org.apache.commons.net.ftp.parser,14
15,73,src\java\org\apache\commons\net\telnet\TelnetInputStream.java,3c394cece81c20dce6747dc5512c25a82194b847,105,0,7e9b1a447f277ac07267710aa96f42cabf3b49b5,NET_1_5_0_RC1,2008-03-05 00:17:28,NET_1_5_0_RC1,,org.apache.commons.net.telnet.TelnetInputStream,org.apache.commons.net.telnet,15
16,198,src\main\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImpl.java,32bab3e4ca532aceb5ec75fd93a4d6869fcfcfbe,116,0,571c9eac8a1471ad1a088e71e06a1a61a95e9646,NET_2_0_RC3,2008-03-08 17:12:34,NET_2_0_RC3,,org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,org.apache.commons.net.ftp.parser,16
17,201,src\main\java\org\apache\commons\net\ftp\FTPClient.java,0dd2e79fbdf14f62db132a837f987fe38f831243,24,0,c42fdde73cba37e782673ae2310b9fdbc4f7c49e,NET_2_0_RC_3,2008-03-16 20:19:37,NET_2_0_RC_3,,org.apache.commons.net.ftp.FTPClient,org.apache.commons.net.ftp,17
18,206,src\java\org\apache\commons\net\tftp\TFTPRequestPacket.java,f4fab2c93bfb37dd183eb95b06d3551ac0b8c6f4,10,0,ae547484e78b0280dbbf314d10e0bb98a5e3ce87,NET_1_5_0_RC1,2008-04-06 22:38:00,NET_1_5_0_RC1,,org.apache.commons.net.tftp.TFTPRequestPacket,org.apache.commons.net.tftp,18
19,203,src\main\java\org\apache\commons\net\ftp\FTPSClient.java,efb89dd9f2f2c4961518f7a20b5c162ad86841f6,90,0,03d73d56148d078dd3aa93798b0706dc79b4d367,NET_2_0,2008-04-06 22:47:10,NET_2_0,,org.apache.commons.net.ftp.FTPSClient,org.apache.commons.net.ftp,19
20,195,src\main\java\org\apache\commons\net\ntp\NtpV3Impl.java,3687d9331a0002f7735dddf93fc0bc19939bf94a,75,0,efb89dd9f2f2c4961518f7a20b5c162ad86841f6,NET_2_0,2008-04-06 22:54:49,NET_2_0,,org.apache.commons.net.ntp.NtpV3Impl,org.apache.commons.net.ntp,20
21,197,src\java\org\apache\commons\net\ftp\FTPFileEntryParserImpl.java,104ff762285bf11ff4305f295d822cc79262eafb,10,0,84a574e82115eeeeed3d115f2a09d0a080b8c7c5,NET_1_5_0_RC1,2008-04-06 23:07:44,NET_1_5_0_RC1,,org.apache.commons.net.ftp.FTPFileEntryParserImpl,org.apache.commons.net.ftp,21
22,211,src\java\org\apache\commons\net\ftp\parser\FTPTimestampParserImpl.java,ce13bab451577512245b345bdf36ac95fd1c1666,50,0,30ac1c5e1279efc68f8bdcd58f5a521866247aa5,NET_1_5_0_RC1,2008-04-07 09:52:44,NET_1_5_0_RC1,,org.apache.commons.net.ftp.parser.FTPTimestampParserImpl,org.apache.commons.net.ftp.parser,22
23,213,src\main\java\org\apache\commons\net\io\FromNetASCIIInputStream.java,e8f3ebfdf487f1e70f06b8bd990e0400542137da,104,0,42bd8f0cae981b40ee86b10d1abc02258b421791,NET_2_0,2008-04-08 16:45:59,NET_2_0,,org.apache.commons.net.io.FromNetASCIIInputStream,org.apache.commons.net.io,23
24,216,src\main\java\org\apache\commons\net\ftp\FTPSClient.java,8f28a93ab1933356496a2fce1d7a6cd39a0dca50,194,0,f06c2236c17b076666332e38f109f4cc766fe717,NET_2_0,2008-04-27 22:08:53,NET_2_0,,org.apache.commons.net.ftp.FTPSClient,org.apache.commons.net.ftp,24
25,194,src\java\org\apache\commons\net\telnet\Telnet.java,46c188e2a222fe567926cd5c9291855238622ee5,958,0,f1d01733afd2ac615d754991b94bb93492e85502,NET_1_5_0_RC1,2008-05-16 17:31:27,NET_1_5_0_RC1,,org.apache.commons.net.telnet.Telnet,org.apache.commons.net.telnet,25
26,208,src\java\org\apache\commons\net\telnet\TelnetInputStream.java,bb1c0319a76d08ee028ef792064aa5f92fcee0ec,10,0,2c04d921c6b50ffa3c69b4906f186a4626bc03c8,NET_1_5_0_RC1,2008-05-16 21:35:12,NET_1_5_0_RC1,,org.apache.commons.net.telnet.TelnetInputStream,org.apache.commons.net.telnet,26
27,221,src\main\java\org\apache\commons\net\ftp\FTPReply.java,6e859c18a1c624fca140c636658df191a9ef8cb0,92,0,77faa7b0d97f026be079d83c04dad7fcee27a1b3,NET_2_0,2008-05-19 21:30:25,NET_2_0,,org.apache.commons.net.ftp.FTPReply,org.apache.commons.net.ftp,27
28,223,src\main\java\org\apache\commons\net\ftp\FTPClient.java,58f702c8619ed0a071d9a5da6c193c3be1ca39dd,54,0,b30d6460ed1e7cf69172eac2b05eaf67dbcb6351,NET_2_0,2008-06-19 12:10:33,NET_2_0,,org.apache.commons.net.ftp.FTPClient,org.apache.commons.net.ftp,28
29,230,src\java\org\apache\commons\net\ftp\FTPClientConfig.java,ad68413e363e51af7259d0fd3c69d5ba2974f590,40,0,a3b42c1a0d76d8f492ba31395129c508dd8e90d8,NET_1_5_0_RC1,2008-08-15 18:16:59,NET_1_5_0_RC1,,org.apache.commons.net.ftp.FTPClientConfig,org.apache.commons.net.ftp,29
30,225,src\java\org\apache\commons\net\ftp\FTPFileEntryParserImpl.java,f4509e7fff01493c2f1683c1ef0b9cbbcf3b4c09,12,0,ad68413e363e51af7259d0fd3c69d5ba2974f590,NET_1_5_0_RC1,2008-08-15 19:02:19,NET_1_5_0_RC1,,org.apache.commons.net.ftp.FTPFileEntryParserImpl,org.apache.commons.net.ftp,30
31,250,src\main\java\org\apache\commons\net\ftp\parser\DefaultFTPFileEntryParserFactory.java,1bf311737d015ac4ef840d75dd97964b9373aa19,45,0,8a2c79cbe16865c44a1bfa6b9877b1b67913b102,NET_2_1_RC1,2009-02-05 00:25:57,NET_2_1_RC1,,org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory,org.apache.commons.net.ftp.parser,31
32,248,src\main\java\org\apache\commons\net\ftp\FTPCommand.java,11822e984d6a055c39b5051477ad667c37fa2237,10,0,1bf311737d015ac4ef840d75dd97964b9373aa19,NET_2_1_RC1,2009-02-05 00:39:30,NET_2_1_RC1,,org.apache.commons.net.ftp.FTPCommand,org.apache.commons.net.ftp,32
33,242,src\main\java\org\apache\commons\net\ftp\FTPSServerSocketFactory.java,a4244f86bdafafb60f7fb63ced991a105d65f611,225,0,e55d11446fa3a268a5653aa82d51fec2cf4cfbfc,NET_2_1_RC1,2009-02-05 00:55:56,NET_2_1_RC1,,org.apache.commons.net.ftp.FTPSServerSocketFactory,org.apache.commons.net.ftp,33
34,236,src\main\java\org\apache\commons\net\util\SubnetUtils.java,092aa892f11cb28324dcb0b57f19a220a8e65285,24,0,a4244f86bdafafb60f7fb63ced991a105d65f611,NET_2_1_RC1,2009-02-05 01:11:02,NET_2_1_RC1,,org.apache.commons.net.util.SubnetUtils,org.apache.commons.net.util,34
35,232,src\java\org\apache\commons\net\telnet\TelnetClient.java,4705df354608830db5d53e6dfb476b2b032e886c,36,0,be5af473dca0fd652be1637d824d0baebb492947,NET_1_5_0_RC3,2009-02-05 18:18:21,NET_1_5_0_RC2,,org.apache.commons.net.telnet.TelnetClient,org.apache.commons.net.telnet,35
36,522,src\main\java\org\apache\commons\net\ftp\FTPSClient.java,a7ceb1a4d117e97c960e423e19a7c5e2c87bae32,292,0,c2fa6a528252a69b290b09fa35d337ee8ec7b8bd,NET_2_1_RC1,2009-02-07 11:05:43,NET_2_1_RC1,,org.apache.commons.net.ftp.FTPSClient,org.apache.commons.net.ftp,36
37,257,src\main\java\org\apache\commons\net\ftp\FTP.java,ad1a51f03abbe85c6648c1b94d9ca440cb1d6966,25,0,a4890ef33ef2ed94d04b1694fab8836574d35d77,NET_2_1_RC1,2009-02-19 17:11:30,NET_2_1_RC1,,org.apache.commons.net.ftp.FTP,org.apache.commons.net.ftp,37
38,259,src\main\java\org\apache\commons\net\ftp\parser\UnixFTPEntryParser.java,ddd40b701b587c73c51d6b25e5a7422e622ff765,8,0,0a0a8eb0dc118f60ac7d9ee2953a2a756aba1f4f,NET_2_1_RC1,2009-03-19 21:36:02,NET_2_1_RC1,,org.apache.commons.net.ftp.parser.UnixFTPEntryParser,org.apache.commons.net.ftp.parser,38
39,265,src\main\java\org\apache\commons\net\ftp\parser\UnixFTPEntryParser.java,3687706250eede3c6f1906a3011d5adc9ea2a216,16,0,ddd40b701b587c73c51d6b25e5a7422e622ff765,NET_2_1_RC1,2009-03-19 22:00:45,NET_2_1_RC1,,org.apache.commons.net.ftp.parser.UnixFTPEntryParser,org.apache.commons.net.ftp.parser,39
41,261,src\main\java\org\apache\commons\net\util\SubnetUtils.java,b8bc7f83cf3123de1440fd48c65158176132b334,88,0,6655daf3f8eaf1392a27dccbf0846d2a79e33616,NET_2_1_RC1,2009-04-04 18:46:23,NET_2_1_RC1,,org.apache.commons.net.util.SubnetUtils,org.apache.commons.net.util,41
42,274,src\main\java\org\apache\commons\net\ftp\FTPSClient.java,a29009716c694f44b5469735268f3397b57e0612,37,0,44cec10c8d2683429a48565072098a89426ed27f,NET_2_1_RC1,2009-04-23 03:23:57,NET_2_1_RC1,,org.apache.commons.net.ftp.FTPSClient,org.apache.commons.net.ftp,42
43,275,src\main\java\org\apache\commons\net\ftp\FTPClient.java,9d2d25e620cb4f0d2091f1639fcce53b2584c5c2,30,0,a29009716c694f44b5469735268f3397b57e0612,NET_2_1_RC1,2009-04-25 21:25:26,NET_2_1_RC1,,org.apache.commons.net.ftp.FTPClient,org.apache.commons.net.ftp,43
44,277,src\main\java\org\apache\commons\net\nntp\NNTPReply.java,79a19d63165db326c918a9cb96c9f55f96fce359,17,0,7ddf77b60a9f65925d166a5e8b6fa2a7aeff6156,NET_2_1_RC1,2009-05-05 12:20:48,NET_2_1_RC1,,org.apache.commons.net.nntp.NNTPReply,org.apache.commons.net.nntp,44
45,279,src\main\java\org\apache\commons\net\smtp\SMTP.java,5eaac875d5c9e4100ed92c72c7176c524ecdf01f,25,0,3141ea465ed0e8df367bc0a470486b30d3efffdb,NET_2_1_RC1,2009-06-02 21:17:05,NET_2_1_RC1,,org.apache.commons.net.smtp.SMTP,org.apache.commons.net.smtp,45
46,294,src\java\org\apache\commons\net\ftp\parser\UnixFTPEntryParser.java,a8da84c614ba6e6e87c6c91e0c426ddfec2766a2,97,0,bf06da2dc19754c501c23d83317686903c0fb0c9,commons-net-2.2RC1,2009-09-14 00:33:44,NET_1_5_0_RC3,,org.apache.commons.net.ftp.parser.UnixFTPEntryParser,org.apache.commons.net.ftp.parser,46
47,300,src\main\java\org\apache\commons\net\ftp\FTPClient.java,cc8870db1014308fb6f426aa72ae697e25a6a199,90,0,8b7d2897c8997b294d34fde8c16d954f9669ba36,NET_2_1_RC_4,2010-03-08 06:14:46,NET_2_1_RC_4,,org.apache.commons.net.ftp.FTPClient,org.apache.commons.net.ftp,47
48,305,src\main\java\org\apache\commons\net\util\SubnetUtils.java,af63187f263d9926c564078d15eac90feae0159d,135,0,cc8870db1014308fb6f426aa72ae697e25a6a199,NET_2_1_RC_4,2010-03-08 08:53:34,NET_2_1_RC_4,,org.apache.commons.net.util.SubnetUtils,org.apache.commons.net.util,48
